,TOTAL_AMOUNT_USD_BRIDGED,CONNEXT_TOTAL_AMOUNT_USD_BRIDGED,HOP_TOTAL_AMOUNT_USD_BRIDGED,ACROSS_TOTAL_AMOUNT_USD_BRIDGED,WORMHOLE_TOTAL_AMOUNT_USD_BRIDGED,CELER_TOTAL_AMOUNT_USD_BRIDGED,SYNAPSE_TOTAL_AMOUNT_USD_BRIDGED,MULTICHAIN_TOTAL_AMOUNT_USD_BRIDGED,SATELLITE_TOTAL_AMOUNT_USD_BRIDGED,SQUID_TOTAL_AMOUNT_USD_BRIDGED,STARGATE_TOTAL_AMOUNT_USD_BRIDGED
TOTAL_AMOUNT_USD_BRIDGED,1.0,0.025731150399611012,0.1671380438387633,0.04140000465157643,0.5719185003023523,0.11966651041015304,0.34446450179225774,0.8465152455774202,0.046643606235317006,0.004140047524455897,0.33030896192978304
CONNEXT_TOTAL_AMOUNT_USD_BRIDGED,0.025731150399611012,1.0,0.08640905450693362,0.006129059472831856,0.004445507117663506,0.021612961775404265,0.03943203586441606,0.013402386478813774,0.0012942956769874021,0.01907043034761997,0.0016397596528995675
HOP_TOTAL_AMOUNT_USD_BRIDGED,0.1671380438387633,0.08640905450693362,1.0,0.010602712171654274,0.07833192984224387,0.02865469034298557,0.35055557029255213,0.07132410095808635,0.0015820504121048335,0.0009690176900917085,0.023021803044418414
ACROSS_TOTAL_AMOUNT_USD_BRIDGED,0.04140000465157643,0.006129059472831856,0.010602712171654274,1.0,0.002422503665892364,0.01676669315769288,0.01456100351402094,0.009571752006502426,0.0004888035380400425,0.0001322251586880408,0.012819522962003586
WORMHOLE_TOTAL_AMOUNT_USD_BRIDGED,0.5719185003023523,0.004445507117663506,0.07833192984224387,0.002422503665892364,1.0,0.009575812005937769,0.2059790479336111,0.10998068723509485,0.012715716182844028,0.0004830787458438786,0.08212996553297262
CELER_TOTAL_AMOUNT_USD_BRIDGED,0.11966651041015304,0.021612961775404265,0.02865469034298557,0.01676669315769288,0.009575812005937769,1.0,0.05393178835379959,0.040385793338029434,0.0018261753583793392,0.0005894134049059876,0.042231662543065575
SYNAPSE_TOTAL_AMOUNT_USD_BRIDGED,0.34446450179225774,0.03943203586441606,0.35055557029255213,0.01456100351402094,0.2059790479336111,0.05393178835379959,1.0,0.16851078675387687,0.0037442876231592926,0.0011503827677179046,0.12831660230083142
MULTICHAIN_TOTAL_AMOUNT_USD_BRIDGED,0.8465152455774202,0.013402386478813774,0.07132410095808635,0.009571752006502426,0.10998068723509485,0.040385793338029434,0.16851078675387687,1.0,0.010076227083792206,0.0012144381189421567,0.1390644136749347
SATELLITE_TOTAL_AMOUNT_USD_BRIDGED,0.046643606235317006,0.0012942956769874021,0.0015820504121048335,0.0004888035380400425,0.012715716182844028,0.0018261753583793392,0.0037442876231592926,0.010076227083792206,1.0,0.01919926275668921,0.011956593531666577
SQUID_TOTAL_AMOUNT_USD_BRIDGED,0.004140047524455897,0.01907043034761997,0.0009690176900917085,0.0001322251586880408,0.0004830787458438786,0.0005894134049059876,0.0011503827677179046,0.0012144381189421567,0.01919926275668921,1.0,0.007674248986621714
STARGATE_TOTAL_AMOUNT_USD_BRIDGED,0.33030896192978304,0.0016397596528995675,0.023021803044418414,0.012819522962003586,0.08212996553297262,0.042231662543065575,0.12831660230083142,0.1390644136749347,0.011956593531666577,0.007674248986621714,1.0
